Temp,Audio,Humidity,CO2,Fire
39.97,0.519,5.04,2457.22,1
67.62,0.922,26.8,3095.83,1
47.1,0.63,9.07,2751.38,1
22.19,0.095,45.2,1007.52,0
64.41,0.935,16.06,4310.11,1
38.01,0.417,59.73,625.31,0
71.18,0.412,5.34,3922.03,1
13.43,0.018,34.03,1181.96,0
17.96,0.095,20.11,691.87,0
53.15,0.485,12.28,3546.61,1
11.26,0.475,46.35,1270.01,0
77.78,0.882,26.98,3613.68,1
39.51,0.644,32.75,2242.89,1
39.46,0.211,48.64,1057.92,0
11.13,0.234,18.19,924.68,0
50.84,0.734,26.64,4155.15,1
86.17,0.866,26.46,3764.53,1
39.88,0.249,33.88,982.35,0
21.58,0.334,51.6,530.35,0
18.44,0.377,44.22,828.57,0
16.41,0.021,32.28,504.31,0
51.0,0.987,20.41,2112.43,1
44.21,0.924,15.01,3024.11,1
27.74,0.072,58.84,467.14,0
37.62,0.191,23.06,747.75,0
35.36,0.883,19.44,4726.94,1
22.68,0.212,40.8,967.55,0
35.19,0.361,38.92,589.63,0
68.84,0.465,8.03,3430.1,1
75.17,0.986,17.42,1765.72,1
87.63,0.75,20.37,2800.89,1
69.56,0.61,31.17,4388.93,1
39.33,0.142,64.53,664.36,0
25.91,0.195,34.65,739.0,0
73.54,0.718,17.61,2085.62,1
81.8,0.827,17.01,3003.43,1
15.84,0.317,69.31,441.46,0
35.29,0.629,23.67,3946.44,1
41.74,0.053,64.6,582.57,0
63.68,0.42,32.66,2667.44,1
81.29,0.907,16.11,2300.12,1
12.76,0.46,29.09,619.97,0
41.57,0.035,60.16,649.81,0
19.68,0.407,63.23,1115.56,0
47.37,0.786,20.48,2111.83,1
71.38,0.86,5.68,1728.94,1
40.68,0.446,26.55,3380.06,1
27.28,0.485,45.18,1192.63,0
34.54,0.329,38.4,945.95,0
89.35,0.408,20.03,4685.42,1
10.9,0.218,38.66,515.14,0
66.29,0.474,11.02,4123.28,1
85.27,0.638,22.14,3160.35,1
79.78,0.82,19.59,2152.11,1
81.01,0.56,5.1,2254.62,1
71.93,0.587,19.6,1489.76,1
43.49,0.153,33.98,1279.14,0
42.7,0.947,20.06,2947.95,1
49.74,0.982,29.44,2521.77,1
59.46,0.859,11.51,1974.09,1
41.68,0.921,5.46,1660.68,1
39.7,0.48,31.66,783.43,0
35.12,0.239,20.09,742.28,0
27.41,0.354,48.69,880.86,0
42.83,0.294,55.13,1048.69,0
80.67,0.401,13.78,2624.18,1
25.89,0.085,62.43,1182.66,0
71.62,0.415,19.61,4179.69,1
42.16,0.9,7.63,4755.53,1
29.72,0.41,30.94,1222.02,0
84.76,0.519,28.52,3448.72,1
34.83,0.492,45.88,1293.83,0
36.15,0.526,31.32,1436.84,1
80.11,0.566,21.28,3894.21,1
39.25,0.94,28.46,2269.78,1
18.7,0.152,58.95,829.42,0
24.93,0.363,67.73,819.52,0
43.35,0.799,25.49,4836.49,1
87.52,0.749,28.54,3304.62,1
18.14,0.033,62.72,854.5,0
41.85,0.114,29.9,985.0,0
62.64,0.859,26.79,2215.37,1
20.05,0.293,68.82,653.55,0
46.56,0.915,20.36,4814.43,1
67.48,0.902,12.63,2998.95,1
36.89,0.409,9.02,2480.96,1
55.04,0.957,25.04,4569.03,1
69.95,0.807,32.35,4383.06,1
42.25,0.123,52.46,776.48,0
57.94,0.961,21.59,3265.34,1
18.07,0.113,63.59,989.54,0
36.03,0.817,21.82,1238.29,1
37.59,0.498,16.28,763.98,0
30.63,0.053,39.34,1038.21,0
25.07,0.098,34.96,1076.55,0
41.98,0.514,34.61,1792.5,1
41.14,0.904,31.29,4854.51,1
78.82,0.585,12.33,3736.25,1
74.76,0.903,11.37,4166.22,1
47.2,0.438,9.33,1387.04,1
18.39,0.129,45.36,1089.07,0
56.39,0.643,16.41,4158.38,1
89.83,0.849,14.63,4748.09,1
21.91,0.302,61.89,1065.04,0
20.95,0.325,37.35,789.39,0
73.86,0.668,26.25,1954.2,1
16.34,0.385,31.73,1125.57,0
75.9,0.584,22.46,3335.4,1
43.04,0.087,29.67,1012.52,0
36.07,0.17,64.27,558.62,0
38.66,0.476,53.81,1006.31,0
78.65,0.465,10.08,1573.16,1
48.53,0.875,17.96,1267.48,1
83.34,0.839,31.75,2660.83,1
41.35,0.511,12.35,1662.37,1
41.52,0.321,39.61,904.12,0
26.97,0.471,23.87,1075.3,0
53.47,0.406,13.54,2149.67,1
43.87,0.154,15.51,486.51,0
38.05,0.496,26.41,1656.42,1
37.92,0.357,38.26,1099.97,0
13.74,0.268,20.81,790.73,0
51.0,0.776,20.95,4899.02,1
33.9,0.107,33.8,665.64,0
51.88,0.762,11.78,4657.64,1
61.73,0.758,31.31,2033.66,1
67.04,0.749,13.3,4404.66,1
36.14,0.057,17.14,468.28,0
35.58,0.015,20.29,902.31,0
42.97,0.048,53.78,671.79,0
13.89,0.257,51.94,953.01,0
46.63,0.885,22.89,2409.6,1
43.86,0.714,23.96,4269.22,1
13.6,0.5,31.61,1298.84,0
17.19,0.099,48.68,934.85,0
81.76,0.863,10.76,3490.16,1
40.92,0.233,26.46,688.83,0
67.55,0.768,28.61,1572.27,1
30.2,0.465,63.04,614.6,0
38.04,0.739,14.64,1971.12,1
41.38,0.421,23.92,3313.49,1
72.78,0.495,23.37,2344.4,1
73.72,0.943,22.22,4953.07,1
40.01,0.291,30.69,689.68,0
75.17,0.495,26.55,3671.93,1
30.9,0.005,32.84,705.81,0
38.1,0.397,18.26,973.46,0
28.4,0.186,19.82,1033.32,0
10.13,0.341,66.22,865.21,0
68.64,0.785,24.46,2716.92,1
70.35,0.705,5.29,3130.01,1
40.04,0.787,24.82,4075.79,1
60.07,0.77,5.29,3796.21,1
78.3,0.424,29.96,4261.23,1
65.89,0.999,10.87,4277.36,1
36.84,0.487,29.77,506.45,0
59.55,0.969,19.67,2650.87,1
38.75,0.462,31.38,1407.13,1
81.0,0.521,8.31,1727.91,1
44.65,0.337,28.62,651.99,0
13.38,0.015,69.93,986.47,0
57.98,0.443,18.83,1767.64,1
53.75,0.69,7.26,4086.49,1
54.93,0.557,19.42,3074.68,1
31.09,0.117,43.01,889.18,0
18.96,0.224,50.97,1082.81,0
59.43,0.433,10.65,3748.49,1
78.27,0.465,25.57,4420.39,1
30.97,0.067,54.5,851.95,0
60.9,0.967,8.16,3383.91,1
58.14,0.646,7.05,4336.94,1
73.97,0.793,9.07,4292.75,1
29.72,0.104,39.83,665.67,0
48.36,0.482,22.66,1613.26,1
36.99,0.71,23.93,4297.33,1
49.83,0.772,13.54,1883.79,1
73.82,0.937,20.33,1697.33,1
46.38,0.996,9.84,3028.55,1
36.73,0.22,20.66,793.18,0
62.09,0.516,14.3,3164.27,1
84.42,0.708,25.32,3661.8,1
89.55,0.667,33.51,4293.43,1
39.88,0.218,63.75,928.24,0
32.54,0.358,45.58,930.81,0
39.53,0.849,7.41,2455.62,1
16.99,0.373,31.27,553.55,0
27.99,0.155,39.97,1266.34,0
51.18,0.939,20.15,4323.66,1
15.17,0.328,24.05,1188.87,0
38.3,0.763,10.95,2651.94,1
34.94,0.076,59.56,430.5,0
25.61,0.38,28.15,1107.83,0
42.23,0.672,29.38,4792.72,1
29.4,0.135,69.72,507.53,0
86.28,0.718,27.26,4511.95,1
82.82,0.773,13.17,2975.57,1
30.19,0.483,67.12,1113.24,0
42.23,0.591,14.84,4558.2,1
46.67,0.646,30.52,1203.32,1
21.74,0.479,44.37,435.67,0
29.6,0.391,32.06,800.81,0
46.56,0.963,17.22,3417.8,1
20.04,0.113,63.1,609.71,0
37.59,0.442,24.61,961.23,0
12.58,0.027,37.59,1050.17,0
44.61,0.879,25.47,2035.49,1
21.02,0.483,50.19,938.32,0
29.76,0.175,26.85,1246.99,0
71.68,0.765,20.84,2031.78,1
17.08,0.21,27.04,791.16,0
39.36,0.542,15.66,3173.51,1
33.09,0.471,55.05,1055.73,0
56.08,0.867,16.43,3956.68,1
78.61,0.957,31.71,1278.99,1
20.82,0.166,22.72,864.67,0
47.22,0.982,19.45,2905.71,1
56.78,0.52,10.96,2780.29,1
43.26,0.437,49.19,831.3,0
12.99,0.017,31.96,420.32,0
20.38,0.2,37.07,1286.11,0
